Vaccinated As of,State,First Dose Administered,Second Dose Administered,Total Doses Administered
19/01/2021,Mizoram,1091.0,0.0,1091.0
19/01/2021,Nagaland,2286.0,0.0,2286.0
19/01/2021,Odisha,55138.0,0.0,55138.0
19/01/2021,Puducherry,719.0,0.0,719.0
19/01/2021,Punjab,5567.0,0.0,5567.0
19/01/2021,Rajasthan,30761.0,0.0,30761.0
19/01/2021,Sikkim,350.0,0.0,350.0
19/01/2021,Tamil Nadu,25251.0,0.0,25251.0
19/01/2021,Telangana,69405.0,0.0,69405.0
19/01/2021,Tripura,3734.0,0.0,3734.0
19/01/2021,Uttar Pradesh,22644.0,0.0,22644.0
19/01/2021,Uttarakhand,6107.0,0.0,6107.0
19/01/2021,West Bengal,42093.0,0.0,42093.0
19/01/2021,Miscellaneous,14017.0,0.0,14017.0
19/01/2021,Total,630417.0,0.0,630417.0
20/01/2021,Andaman and Nicobar Islands,644.0,0.0,644.0
20/01/2021,Andhra Pradesh,91778.0,0.0,91778.0
20/01/2021,Arunachal Pradesh,3023.0,0.0,3023.0
20/01/2021,Assam,7585.0,0.0,7585.0
20/01/2021,Bihar,47433.0,0.0,47433.0
20/01/2021,Chandigarh,469.0,0.0,469.0
20/01/2021,Chhattisgarh,16255.0,0.0,16255.0
20/01/2021,Dadra and Nagar Haveli and Daman and Diu,219.0,0.0,219.0
20/01/2021,Delhi,12902.0,0.0,12902.0
20/01/2021,Goa,426.0,0.0,426.0
20/01/2021,Gujarat,21832.0,0.0,21832.0
20/01/2021,Haryana,30402.0,0.0,30402.0
20/01/2021,Himachal Pradesh,5094.0,0.0,5094.0
20/01/2021,Jammu and Kashmir,4414.0,0.0,4414.0
20/01/2021,Jharkhand,11641.0,0.0,11641.0
20/01/2021,Karnataka,121466.0,0.0,121466.0
20/01/2021,Kerala,24269.0,0.0,24269.0
20/01/2021,Ladakh,240.0,0.0,240.0
20/01/2021,Lakshadweep,369.0,0.0,369.0
20/01/2021,Madhya Pradesh,27770.0,0.0,27770.0
20/01/2021,Maharashtra,52055.0,0.0,52055.0
20/01/2021,Manipur,1454.0,0.0,1454.0
20/01/2021,Meghalaya,1365.0,0.0,1365.0
20/01/2021,Mizoram,1508.0,0.0,1508.0
20/01/2021,Nagaland,2988.0,0.0,2988.0
20/01/2021,Odisha,68743.0,0.0,68743.0
20/01/2021,Puducherry,759.0,0.0,759.0
20/01/2021,Punjab,7607.0,0.0,7607.0
20/01/2021,Rajasthan,32379.0,0.0,32379.0
20/01/2021,Sikkim,573.0,0.0,573.0
20/01/2021,Tamil Nadu,33670.0,0.0,33670.0
20/01/2021,Telangana,69405.0,0.0,69405.0
20/01/2021,Tripura,3734.0,0.0,3734.0
20/01/2021,Uttar Pradesh,22644.0,0.0,22644.0
20/01/2021,Uttarakhand,6119.0,0.0,6119.0
20/01/2021,West Bengal,46310.0,0.0,46310.0
20/01/2021,Miscellaneous,26940.0,0.0,26940.0
20/01/2021,Total,806484.0,0.0,806484.0
21/01/2021,Andaman and Nicobar Islands,1032.0,0.0,1032.0
21/01/2021,Andhra Pradesh,115365.0,0.0,115365.0
21/01/2021,Arunachal Pradesh,4682.0,0.0,4682.0
21/01/2021,Assam,10676.0,0.0,10676.0
21/01/2021,Bihar,63541.0,0.0,63541.0
21/01/2021,Chandigarh,753.0,0.0,753.0
21/01/2021,Chhattisgarh,22171.0,0.0,22171.0
21/01/2021,Dadra and Nagar Haveli and Daman and Diu,278.0,0.0,278.0
21/01/2021,Delhi,18844.0,0.0,18844.0
21/01/2021,Goa,426.0,0.0,426.0
21/01/2021,Gujarat,34865.0,0.0,34865.0
21/01/2021,Haryana,45893.0,0.0,45893.0
21/01/2021,Himachal Pradesh,5790.0,0.0,5790.0
21/01/2021,Jammu and Kashmir,6847.0,0.0,6847.0
21/01/2021,Jharkhand,11641.0,0.0,11641.0
21/01/2021,Karnataka,138807.0,0.0,138807.0
21/01/2021,Kerala,35173.0,0.0,35173.0
21/01/2021,Ladakh,240.0,0.0,240.0
21/01/2021,Lakshadweep,369.0,0.0,369.0
21/01/2021,Madhya Pradesh,38278.0,0.0,38278.0
21/01/2021,Maharashtra,52393.0,0.0,52393.0
21/01/2021,Manipur,1454.0,0.0,1454.0
21/01/2021,Meghalaya,1785.0,0.0,1785.0
21/01/2021,Mizoram,2537.0,0.0,2537.0
21/01/2021,Nagaland,3187.0,0.0,3187.0
21/01/2021,Odisha,113623.0,0.0,113623.0
21/01/2021,Puducherry,759.0,0.0,759.0
21/01/2021,Punjab,12532.0,0.0,12532.0
21/01/2021,Rajasthan,32379.0,0.0,32379.0
21/01/2021,Sikkim,773.0,0.0,773.0
21/01/2021,Tamil Nadu,42947.0,0.0,42947.0
21/01/2021,Telangana,97087.0,0.0,97087.0
21/01/2021,Tripura,9272.0,0.0,9272.0
