Vaccinated As of,State,First Dose Administered,Second Dose Administered,Total Doses Administered
19/03/2021,West Bengal,3000505.0,481943.0,3482448.0
19/03/2021,Miscellaneous,1379747.0,242686.0,1622433.0
19/03/2021,Total,34842030.0,7221362.0,42063392.0
20/03/2021,Andaman and Nicobar Islands,13785.0,4347.0,18132.0
20/03/2021,Andhra Pradesh,1312896.0,298188.0,1611084.0
20/03/2021,Arunachal Pradesh,54050.0,15869.0,69919.0
20/03/2021,Assam,542374.0,102817.0,645191.0
20/03/2021,Bihar,1531693.0,386252.0,1917945.0
20/03/2021,Chandigarh,55726.0,8446.0,64172.0
20/03/2021,Chhattisgarh,1072388.0,268102.0,1340490.0
20/03/2021,Dadra and Nagar Haveli and Daman and Diu,18661.0,3663.0,22324.0
20/03/2021,Delhi,797588.0,186677.0,984265.0
20/03/2021,Goa,76489.0,13019.0,89508.0
20/03/2021,Gujarat,2916065.0,598596.0,3514661.0
20/03/2021,Haryana,773842.0,133636.0,907478.0
20/03/2021,Himachal Pradesh,283251.0,83251.0,366502.0
20/03/2021,Jammu and Kashmir,494758.0,105157.0,599915.0
20/03/2021,Jharkhand,680446.0,192742.0,873188.0
20/03/2021,Karnataka,2109425.0,371724.0,2481149.0
20/03/2021,Kerala,1962681.0,334495.0,2297176.0
20/03/2021,Ladakh,38003.0,5246.0,43249.0
20/03/2021,Lakshadweep,4183.0,2014.0,6197.0
20/03/2021,Madhya Pradesh,1797532.0,430724.0,2228256.0
20/03/2021,Maharashtra,3670363.0,595149.0,4265512.0
20/03/2021,Manipur,81251.0,20928.0,102179.0
20/03/2021,Meghalaya,59169.0,19385.0,78554.0
20/03/2021,Mizoram,50501.0,11746.0,62247.0
20/03/2021,Nagaland,51682.0,16252.0,67934.0
20/03/2021,Odisha,1417557.0,367290.0,1784847.0
20/03/2021,Puducherry,42524.0,6041.0,48565.0
20/03/2021,Punjab,452004.0,84404.0,536408.0
20/03/2021,Rajasthan,3624232.0,649981.0,4274213.0
20/03/2021,Sikkim,51523.0,9742.0,61265.0
20/03/2021,Tamil Nadu,1878339.0,207782.0,2086121.0
20/03/2021,Telangana,692820.0,202526.0,895346.0
20/03/2021,Tripura,250032.0,66719.0,316751.0
20/03/2021,Uttar Pradesh,3336540.0,789966.0,4126506.0
20/03/2021,Uttarakhand,409592.0,107659.0,517251.0
20/03/2021,West Bengal,3130942.0,499968.0,3630910.0
20/03/2021,Miscellaneous,1390280.0,278151.0,1668431.0
20/03/2021,Total,37125187.0,7478654.0,44603841.0
21/03/2021,Andaman and Nicobar Islands,13785.0,4347.0,18132.0
21/03/2021,Andhra Pradesh,1312896.0,298188.0,1611084.0
21/03/2021,Arunachal Pradesh,54050.0,15869.0,69919.0
21/03/2021,Assam,544139.0,103130.0,647269.0
21/03/2021,Bihar,1531693.0,386252.0,1917945.0
21/03/2021,Chandigarh,55875.0,8449.0,64324.0
21/03/2021,Chhattisgarh,1073250.0,268250.0,1341500.0
21/03/2021,Dadra and Nagar Haveli and Daman and Diu,18661.0,3663.0,22324.0
21/03/2021,Delhi,797941.0,186714.0,984655.0
21/03/2021,Goa,76489.0,13019.0,89508.0
21/03/2021,Gujarat,3120338.0,601245.0,3721583.0
21/03/2021,Haryana,774304.0,133697.0,908001.0
21/03/2021,Himachal Pradesh,284645.0,83353.0,367998.0
21/03/2021,Jammu and Kashmir,494758.0,105157.0,599915.0
21/03/2021,Jharkhand,829199.0,196743.0,1025942.0
21/03/2021,Karnataka,2129706.0,372403.0,2502109.0
21/03/2021,Kerala,1968582.0,334671.0,2303253.0
21/03/2021,Ladakh,38035.0,5248.0,43283.0
21/03/2021,Lakshadweep,4183.0,2014.0,6197.0
21/03/2021,Madhya Pradesh,1797532.0,430724.0,2228256.0
21/03/2021,Maharashtra,3682577.0,595905.0,4278482.0
21/03/2021,Manipur,81297.0,21061.0,102358.0
21/03/2021,Meghalaya,59169.0,19385.0,78554.0
21/03/2021,Mizoram,50501.0,11746.0,62247.0
21/03/2021,Nagaland,51682.0,16252.0,67934.0
21/03/2021,Odisha,1417557.0,367290.0,1784847.0
21/03/2021,Puducherry,42524.0,6041.0,48565.0
21/03/2021,Punjab,461475.0,84777.0,546252.0
21/03/2021,Rajasthan,3637514.0,651387.0,4288901.0
21/03/2021,Sikkim,51523.0,9742.0,61265.0
21/03/2021,Tamil Nadu,1878339.0,207782.0,2086121.0
21/03/2021,Telangana,692820.0,202526.0,895346.0
21/03/2021,Tripura,254907.0,66824.0,321731.0
21/03/2021,Uttar Pradesh,3341941.0,790194.0,4132135.0
21/03/2021,Uttarakhand,412214.0,107713.0,519927.0
21/03/2021,West Bengal,3147921.0,501784.0,3649705.0
21/03/2021,Miscellaneous,1390280.0,278151.0,1668431.0
21/03/2021,Total,37574302.0,7491696.0,45065998.0
22/03/2021,Andaman and Nicobar Islands,14161.0,4829.0,18990.0
22/03/2021,Andhra Pradesh,1434145.0,307733.0,1741878.0
22/03/2021,Arunachal Pradesh,56605.0,16821.0,73426.0
22/03/2021,Assam,568778.0,109881.0,678659.0
22/03/2021,Bihar,1620295.0,392764.0,2013059.0
22/03/2021,Chandigarh,57257.0,8956.0,66213.0
22/03/2021,Chhattisgarh,1129190.0,277919.0,1407109.0
22/03/2021,Dadra and Nagar Haveli and Daman and Diu,19308.0,3684.0,22992.0
22/03/2021,Delhi,829091.0,201626.0,1030717.0
22/03/2021,Goa,79363.0,13598.0,92961.0
22/03/2021,Gujarat,3341744.0,609048.0,3950792.0
22/03/2021,Haryana,1016959.0,140404.0,1157363.0
22/03/2021,Himachal Pradesh,292939.0,84827.0,377766.0
22/03/2021,Jammu and Kashmir,518666.0,117592.0,636258.0
22/03/2021,Jharkhand,862482.0,202955.0,1065437.0
22/03/2021,Karnataka,2347603.0,382853.0,2730456.0
22/03/2021,Kerala,2089462.0,342811.0,2432273.0
22/03/2021,Ladakh,38476.0,5794.0,44270.0
22/03/2021,Lakshadweep,4264.0,2029.0,6293.0
22/03/2021,Madhya Pradesh,2194960.0,467674.0,2662634.0
22/03/2021,Maharashtra,3924766.0,630070.0,4554836.0
22/03/2021,Manipur,82036.0,23245.0,105281.0
22/03/2021,Meghalaya,60935.0,21630.0,82565.0
22/03/2021,Mizoram,50754.0,12079.0,62833.0
22/03/2021,Nagaland,54152.0,18819.0,72971.0
22/03/2021,Odisha,1508320.0,373594.0,1881914.0
22/03/2021,Puducherry,45916.0,6282.0,52198.0
22/03/2021,Punjab,490362.0,88097.0,578459.0
22/03/2021,Rajasthan,3883490.0,658050.0,4541540.0
22/03/2021,Sikkim,52929.0,10742.0,63671.0
22/03/2021,Tamil Nadu,2019260.0,219495.0,2238755.0
22/03/2021,Telangana,720982.0,203509.0,924491.0
22/03/2021,Tripura,305064.0,69359.0,374423.0
22/03/2021,Uttar Pradesh,3668823.0,865048.0,4533871.0
22/03/2021,Uttarakhand,439317.0,110284.0,549601.0
22/03/2021,West Bengal,3406689.0,534591.0,3941280.0
22/03/2021,Miscellaneous,1401610.0,324749.0,1726359.0
22/03/2021,Total,40631153.0,7863441.0,48494594.0
23/03/2021,Andaman and Nicobar Islands,14751.0,5001.0,19752.0
23/03/2021,Andhra Pradesh,1533631.0,316719.0,1850350.0
23/03/2021,Arunachal Pradesh,58099.0,17375.0,75474.0
23/03/2021,Assam,692538.0,118081.0,810619.0
23/03/2021,Bihar,1734892.0,402191.0,2137083.0
23/03/2021,Chandigarh,58336.0,9368.0,67704.0
23/03/2021,Chhattisgarh,1159298.0,285740.0,1445038.0
23/03/2021,Dadra and Nagar Haveli and Daman and Diu,19979.0,3731.0,23710.0
23/03/2021,Delhi,857007.0,212720.0,1069727.0
23/03/2021,Goa,81950.0,13884.0,95834.0
23/03/2021,Gujarat,3572189.0,614639.0,4186828.0
23/03/2021,Haryana,1058744.0,141735.0,1200479.0
23/03/2021,Himachal Pradesh,314214.0,86528.0,400742.0
23/03/2021,Jammu and Kashmir,537307.0,124190.0,661497.0
23/03/2021,Jharkhand,1017921.0,208782.0,1226703.0
23/03/2021,Karnataka,2456114.0,390230.0,2846344.0
23/03/2021,Kerala,2203867.0,354677.0,2558544.0
23/03/2021,Ladakh,38823.0,6059.0,44882.0
23/03/2021,Lakshadweep,4346.0,2050.0,6396.0
23/03/2021,Madhya Pradesh,2198228.0,467836.0,2666064.0
23/03/2021,Maharashtra,4093349.0,650488.0,4743837.0
23/03/2021,Manipur,83092.0,25001.0,108093.0
23/03/2021,Meghalaya,62690.0,23904.0,86594.0
23/03/2021,Mizoram,51146.0,12461.0,63607.0
23/03/2021,Nagaland,56667.0,20013.0,76680.0
23/03/2021,Odisha,1582282.0,378445.0,1960727.0
23/03/2021,Puducherry,48623.0,6509.0,55132.0
23/03/2021,Punjab,518477.0,90769.0,609246.0
23/03/2021,Rajasthan,4090566.0,662418.0,4752984.0
23/03/2021,Sikkim,55143.0,11625.0,66768.0
23/03/2021,Tamil Nadu,2115424.0,228488.0,2343912.0
23/03/2021,Telangana,792008.0,218588.0,1010596.0
23/03/2021,Tripura,345072.0,71046.0,416118.0
23/03/2021,Uttar Pradesh,3779843.0,873862.0,4653705.0
23/03/2021,Uttarakhand,464298.0,112637.0,576935.0
23/03/2021,West Bengal,3563759.0,561450.0,4125209.0
23/03/2021,Miscellaneous,1417279.0,380094.0,1797373.0
23/03/2021,Total,42731952.0,8109334.0,50841286.0
24/03/2021,Andaman and Nicobar Islands,14934.0,5068.0,20002.0
24/03/2021,Andhra Pradesh,1643888.0,328146.0,1972034.0
24/03/2021,Arunachal Pradesh,58119.0,17474.0,75593.0
24/03/2021,Assam,716328.0,120799.0,837127.0
24/03/2021,Bihar,1835841.0,409195.0,2245036.0
24/03/2021,Chandigarh,59614.0,9719.0,69333.0
24/03/2021,Chhattisgarh,1197167.0,291767.0,1488934.0
24/03/2021,Dadra and Nagar Haveli and Daman and Diu,20566.0,3772.0,24338.0
24/03/2021,Delhi,874509.0,219920.0,1094429.0
24/03/2021,Goa,84491.0,14521.0,99012.0
24/03/2021,Gujarat,3759854.0,621960.0,4381814.0
24/03/2021,Haryana,1070888.0,142762.0,1213650.0
24/03/2021,Himachal Pradesh,325647.0,87548.0,413195.0
24/03/2021,Jammu and Kashmir,537307.0,124190.0,661497.0
24/03/2021,Jharkhand,1130183.0,213445.0,1343628.0
24/03/2021,Karnataka,2631127.0,398417.0,3029544.0
24/03/2021,Kerala,2260396.0,358455.0,2618851.0
24/03/2021,Ladakh,39015.0,6146.0,45161.0
24/03/2021,Lakshadweep,4411.0,2052.0,6463.0
24/03/2021,Madhya Pradesh,2453554.0,478784.0,2932338.0
24/03/2021,Maharashtra,4342646.0,672128.0,5014774.0
24/03/2021,Manipur,83749.0,27033.0,110782.0
24/03/2021,Meghalaya,64165.0,25049.0,89214.0
24/03/2021,Mizoram,51375.0,12564.0,63939.0
24/03/2021,Nagaland,57853.0,20994.0,78847.0
24/03/2021,Odisha,1640229.0,381808.0,2022037.0
24/03/2021,Puducherry,53441.0,6600.0,60041.0
24/03/2021,Punjab,544125.0,92695.0,636820.0
24/03/2021,Rajasthan,4327874.0,666700.0,4994574.0
24/03/2021,Sikkim,56855.0,11907.0,68762.0
24/03/2021,Tamil Nadu,2203535.0,234718.0,2438253.0
24/03/2021,Telangana,831077.0,219090.0,1050167.0
24/03/2021,Tripura,411819.0,72178.0,483997.0
24/03/2021,Uttar Pradesh,3878953.0,877846.0,4756799.0
24/03/2021,Uttarakhand,481990.0,113980.0,595970.0
24/03/2021,West Bengal,3669065.0,581075.0,4250140.0
24/03/2021,Miscellaneous,1429948.0,428666.0,1858614.0
24/03/2021,Total,44846538.0,8299171.0,53145709.0
25/03/2021,Andaman and Nicobar Islands,15377.0,5295.0,20672.0
25/03/2021,Andhra Pradesh,1772829.0,341152.0,2113981.0
25/03/2021,Arunachal Pradesh,60663.0,18230.0,78893.0
25/03/2021,Assam,798627.0,127723.0,926350.0
25/03/2021,Bihar,1965991.0,415782.0,2381773.0
25/03/2021,Chandigarh,60997.0,10039.0,71036.0
25/03/2021,Chhattisgarh,1251396.0,297510.0,1548906.0
25/03/2021,Dadra and Nagar Haveli and Daman and Diu,21004.0,3843.0,24847.0
25/03/2021,Delhi,906665.0,227967.0,1134632.0
25/03/2021,Goa,86915.0,15032.0,101947.0
25/03/2021,Gujarat,4012278.0,626484.0,4638762.0
25/03/2021,Haryana,1116857.0,144942.0,1261799.0
25/03/2021,Himachal Pradesh,363414.0,88676.0,452090.0
25/03/2021,Jammu and Kashmir,566021.0,131274.0,697295.0
25/03/2021,Jharkhand,1166316.0,217759.0,1384075.0
25/03/2021,Karnataka,2721173.0,402779.0,3123952.0
25/03/2021,Kerala,2408804.0,363741.0,2772545.0
25/03/2021,Ladakh,39097.0,6250.0,45347.0
25/03/2021,Lakshadweep,4431.0,2059.0,6490.0
25/03/2021,Madhya Pradesh,2590041.0,484883.0,3074924.0
25/03/2021,Maharashtra,4541032.0,687865.0,5228897.0
25/03/2021,Manipur,84235.0,28805.0,113040.0
25/03/2021,Meghalaya,66335.0,27072.0,93407.0
25/03/2021,Mizoram,51831.0,12719.0,64550.0
25/03/2021,Nagaland,58818.0,21651.0,80469.0
25/03/2021,Odisha,1708888.0,386329.0,2095217.0
25/03/2021,Puducherry,56187.0,6652.0,62839.0
25/03/2021,Punjab,571441.0,94954.0,666395.0
25/03/2021,Rajasthan,4387817.0,669692.0,5057509.0
25/03/2021,Sikkim,58474.0,12049.0,70523.0
25/03/2021,Tamil Nadu,2297100.0,240102.0,2537202.0
25/03/2021,Telangana,866810.0,221499.0,1088309.0
25/03/2021,Tripura,480134.0,73661.0,553795.0
25/03/2021,Uttar Pradesh,4121612.0,900996.0,5022608.0
25/03/2021,Uttarakhand,508638.0,115457.0,624095.0
25/03/2021,West Bengal,3771752.0,600615.0,4372367.0
25/03/2021,Miscellaneous,1441472.0,471430.0,1912902.0
25/03/2021,Total,47001472.0,8502968.0,55504440.0
26/03/2021,Andaman and Nicobar Islands,15639.0,5352.0,20991.0
26/03/2021,Andhra Pradesh,1865305.0,353748.0,2219053.0
26/03/2021,Arunachal Pradesh,62551.0,18982.0,81533.0
26/03/2021,Assam,854733.0,132071.0,986804.0
26/03/2021,Bihar,2096425.0,423448.0,2519873.0
26/03/2021,Chandigarh,62270.0,10444.0,72714.0
26/03/2021,Chhattisgarh,1313097.0,301916.0,1615013.0
26/03/2021,Dadra and Nagar Haveli and Daman and Diu,21813.0,3984.0,25797.0
26/03/2021,Delhi,923905.0,232641.0,1156546.0
26/03/2021,Goa,89353.0,15719.0,105072.0
26/03/2021,Gujarat,4277895.0,630820.0,4908715.0
26/03/2021,Haryana,1156125.0,146552.0,1302677.0
26/03/2021,Himachal Pradesh,383719.0,89939.0,473658.0
26/03/2021,Jammu and Kashmir,590661.0,135575.0,726236.0
26/03/2021,Jharkhand,1228469.0,218819.0,1447288.0
26/03/2021,Karnataka,2875521.0,410308.0,3285829.0
26/03/2021,Kerala,2536834.0,368111.0,2904945.0
26/03/2021,Ladakh,39181.0,6378.0,45559.0
26/03/2021,Lakshadweep,4510.0,2066.0,6576.0
26/03/2021,Madhya Pradesh,2593674.0,484999.0,3078673.0
26/03/2021,Maharashtra,4786833.0,707926.0,5494759.0
26/03/2021,Manipur,85103.0,31121.0,116224.0
26/03/2021,Meghalaya,67821.0,28103.0,95924.0
26/03/2021,Mizoram,52575.0,13156.0,65731.0
26/03/2021,Nagaland,59450.0,21967.0,81417.0
26/03/2021,Odisha,1778321.0,389635.0,2167956.0
26/03/2021,Puducherry,58833.0,6745.0,65578.0
26/03/2021,Punjab,598789.0,96887.0,695676.0
26/03/2021,Rajasthan,4632659.0,674962.0,5307621.0
26/03/2021,Sikkim,60149.0,12160.0,72309.0
26/03/2021,Tamil Nadu,2398870.0,246944.0,2645814.0
26/03/2021,Telangana,903925.0,224707.0,1128632.0
26/03/2021,Tripura,568092.0,75025.0,643117.0
26/03/2021,Uttar Pradesh,4332916.0,908053.0,5240969.0
26/03/2021,Uttarakhand,532889.0,116611.0,649500.0
26/03/2021,West Bengal,4064503.0,623669.0,4688172.0
26/03/2021,Miscellaneous,1453210.0,513612.0,1966822.0
26/03/2021,Total,49426618.0,8683155.0,58109773.0
27/03/2021,Andaman and Nicobar Islands,15989.0,5372.0,21361.0
27/03/2021,Andhra Pradesh,1974734.0,367221.0,2341955.0
27/03/2021,Arunachal Pradesh,64272.0,19178.0,83450.0
27/03/2021,Assam,870710.0,133328.0,1004038.0
27/03/2021,Bihar,2206580.0,427657.0,2634237.0
27/03/2021,Chandigarh,63532.0,10698.0,74230.0
27/03/2021,Chhattisgarh,1423884.0,305953.0,1729837.0
27/03/2021,Dadra and Nagar Haveli and Daman and Diu,22249.0,4039.0,26288.0
27/03/2021,Delhi,959715.0,237160.0,1196875.0
27/03/2021,Goa,91828.0,15892.0,107720.0
27/03/2021,Gujarat,4524687.0,633743.0,5158430.0
27/03/2021,Haryana,1171027.0,147158.0,1318185.0
27/03/2021,Himachal Pradesh,403332.0,90405.0,493737.0
27/03/2021,Jammu and Kashmir,612275.0,139347.0,751622.0
27/03/2021,Jharkhand,1334882.0,221450.0,1556332.0
27/03/2021,Karnataka,2985601.0,415016.0,3400617.0
27/03/2021,Kerala,2647764.0,371882.0,3019646.0
27/03/2021,Ladakh,39298.0,6394.0,45692.0
27/03/2021,Lakshadweep,4724.0,2076.0,6800.0
27/03/2021,Madhya Pradesh,2699003.0,489494.0,3188497.0
27/03/2021,Maharashtra,5004331.0,721705.0,5726036.0
27/03/2021,Manipur,85714.0,32454.0,118168.0
27/03/2021,Meghalaya,68232.0,28183.0,96415.0
27/03/2021,Mizoram,52575.0,13156.0,65731.0
27/03/2021,Nagaland,59603.0,22073.0,81676.0
27/03/2021,Odisha,1844679.0,391944.0,2236623.0
27/03/2021,Puducherry,61157.0,6823.0,67980.0
27/03/2021,Punjab,630437.0,98693.0,729130.0
27/03/2021,Rajasthan,4806418.0,677766.0,5484184.0
27/03/2021,Sikkim,60149.0,12160.0,72309.0
27/03/2021,Tamil Nadu,2498283.0,253345.0,2751628.0
27/03/2021,Telangana,944950.0,225457.0,1170407.0
27/03/2021,Tripura,576738.0,75192.0,651930.0
27/03/2021,Uttar Pradesh,4393060.0,910382.0,5303442.0
27/03/2021,Uttarakhand,548177.0,117507.0,665684.0
27/03/2021,West Bengal,4229323.0,636122.0,4865445.0
27/03/2021,Miscellaneous,1461524.0,561921.0,2023445.0
27/03/2021,Total,51441436.0,8828346.0,60269782.0
28/03/2021,Andaman and Nicobar Islands,15989.0,5372.0,21361.0
28/03/2021,Andhra Pradesh,1981486.0,368793.0,2350279.0
28/03/2021,Arunachal Pradesh,64272.0,19178.0,83450.0
28/03/2021,Assam,870902.0,133346.0,1004248.0
28/03/2021,Bihar,2206580.0,427657.0,2634237.0
28/03/2021,Chandigarh,63620.0,10703.0,74323.0
28/03/2021,Chhattisgarh,1456510.0,306665.0,1763175.0
28/03/2021,Dadra and Nagar Haveli and Daman and Diu,22249.0,4039.0,26288.0
28/03/2021,Delhi,959715.0,237160.0,1196875.0
28/03/2021,Goa,91828.0,15892.0,107720.0
28/03/2021,Gujarat,4616750.0,634130.0,5250880.0
28/03/2021,Haryana,1172236.0,147164.0,1319400.0
28/03/2021,Himachal Pradesh,403332.0,90405.0,493737.0
28/03/2021,Jammu and Kashmir,612275.0,139347.0,751622.0
28/03/2021,Jharkhand,1341869.0,221552.0,1563421.0
28/03/2021,Karnataka,3000838.0,415341.0,3416179.0
28/03/2021,Kerala,2659617.0,371993.0,3031610.0
28/03/2021,Ladakh,39298.0,6394.0,45692.0
28/03/2021,Lakshadweep,4724.0,2076.0,6800.0
28/03/2021,Madhya Pradesh,2699003.0,489494.0,3188497.0
28/03/2021,Maharashtra,5023688.0,722914.0,5746602.0
28/03/2021,Manipur,85717.0,32505.0,118222.0
28/03/2021,Meghalaya,68243.0,28183.0,96426.0
28/03/2021,Mizoram,52575.0,13156.0,65731.0
28/03/2021,Nagaland,59603.0,22073.0,81676.0
28/03/2021,Odisha,1844679.0,391944.0,2236623.0
28/03/2021,Puducherry,61157.0,6823.0,67980.0
28/03/2021,Punjab,643575.0,99052.0,742627.0
28/03/2021,Rajasthan,4806418.0,677766.0,5484184.0
28/03/2021,Sikkim,60149.0,12160.0,72309.0
28/03/2021,Tamil Nadu,2498283.0,253345.0,2751628.0
28/03/2021,Telangana,950014.0,225462.0,1175476.0
28/03/2021,Tripura,582814.0,75233.0,658047.0
28/03/2021,Uttar Pradesh,4393145.0,910385.0,5303530.0
28/03/2021,Uttarakhand,548314.0,117507.0,665821.0
28/03/2021,West Bengal,4230496.0,636238.0,4866734.0
28/03/2021,Miscellaneous,1468271.0,598754.0,2067025.0
28/03/2021,Total,51660234.0,8870201.0,60530435.0
29/03/2021,Andaman and Nicobar Islands,15989.0,5372.0,21361.0
29/03/2021,Andhra Pradesh,2035410.0,372913.0,2408323.0
29/03/2021,Arunachal Pradesh,64618.0,19190.0,83808.0
29/03/2021,Assam,873157.0,133546.0,1006703.0
29/03/2021,Bihar,2206580.0,427657.0,2634237.0
29/03/2021,Chandigarh,63620.0,10703.0,74323.0
29/03/2021,Chhattisgarh,1456510.0,306665.0,1763175.0
29/03/2021,Dadra and Nagar Haveli and Daman and Diu,22249.0,4039.0,26288.0
29/03/2021,Delhi,960057.0,237170.0,1197227.0
29/03/2021,Goa,92572.0,16030.0,108602.0
29/03/2021,Gujarat,4628511.0,634395.0,5262906.0
29/03/2021,Haryana,1172236.0,147164.0,1319400.0
29/03/2021,Himachal Pradesh,404269.0,90426.0,494695.0
29/03/2021,Jammu and Kashmir,634953.0,142895.0,777848.0
29/03/2021,Jharkhand,1342204.0,221648.0,1563852.0
29/03/2021,Karnataka,3130801.0,421237.0,3552038.0
29/03/2021,Kerala,2805410.0,376210.0,3181620.0
29/03/2021,Ladakh,39298.0,6394.0,45692.0
29/03/2021,Lakshadweep,4724.0,2076.0,6800.0
29/03/2021,Madhya Pradesh,2699003.0,489494.0,3188497.0
29/03/2021,Maharashtra,5057844.0,724821.0,5782665.0
29/03/2021,Manipur,85731.0,32560.0,118291.0
29/03/2021,Meghalaya,69157.0,28425.0,97582.0
29/03/2021,Mizoram,52576.0,13272.0,65848.0
29/03/2021,Nagaland,59620.0,22074.0,81694.0
29/03/2021,Odisha,1844679.0,391944.0,2236623.0
29/03/2021,Puducherry,63209.0,6915.0,70124.0
29/03/2021,Punjab,654673.0,99681.0,754354.0
29/03/2021,Rajasthan,4806418.0,677766.0,5484184.0
29/03/2021,Sikkim,60149.0,12160.0,72309.0
29/03/2021,Tamil Nadu,2611426.0,260087.0,2871513.0
29/03/2021,Telangana,950014.0,225462.0,1175476.0
29/03/2021,Tripura,582814.0,75233.0,658047.0
29/03/2021,Uttar Pradesh,4393145.0,910385.0,5303530.0
29/03/2021,Uttarakhand,548314.0,117507.0,665821.0
29/03/2021,West Bengal,4250981.0,637644.0,4888625.0
29/03/2021,Miscellaneous,1468477.0,600796.0,2069273.0
29/03/2021,Total,52211398.0,8901956.0,61113354.0
30/03/2021,Andaman and Nicobar Islands,16480.0,5608.0,22088.0
30/03/2021,Andhra Pradesh,2121512.0,382967.0,2504479.0
30/03/2021,Arunachal Pradesh,65951.0,19938.0,85889.0
30/03/2021,Assam,901311.0,137991.0,1039302.0
30/03/2021,Bihar,2281396.0,430301.0,2711697.0
30/03/2021,Chandigarh,64871.0,11082.0,75953.0
30/03/2021,Chhattisgarh,1508503.0,310243.0,1818746.0
30/03/2021,Dadra and Nagar Haveli and Daman and Diu,22952.0,4279.0,27231.0
30/03/2021,Delhi,993695.0,244260.0,1237955.0
30/03/2021,Goa,95243.0,17411.0,112654.0
30/03/2021,Gujarat,4828685.0,653365.0,5482050.0
30/03/2021,Haryana,1331532.0,151167.0,1482699.0
30/03/2021,Himachal Pradesh,431342.0,91476.0,522818.0
30/03/2021,Jammu and Kashmir,656985.0,146839.0,803824.0
30/03/2021,Jharkhand,1350812.0,223556.0,1574368.0
30/03/2021,Karnataka,3242113.0,427360.0,3669473.0
30/03/2021,Kerala,2957153.0,382708.0,3339861.0
30/03/2021,Ladakh,39387.0,6425.0,45812.0
30/03/2021,Lakshadweep,4829.0,2130.0,6959.0
30/03/2021,Madhya Pradesh,2702019.0,489773.0,3191792.0
30/03/2021,Maharashtra,5255093.0,738033.0,5993126.0
30/03/2021,Manipur,86044.0,33529.0,119573.0
30/03/2021,Meghalaya,70556.0,29281.0,99837.0
30/03/2021,Mizoram,52785.0,13527.0,66312.0
30/03/2021,Nagaland,62104.0,23183.0,85287.0
30/03/2021,Odisha,1925880.0,401042.0,2326922.0
30/03/2021,Puducherry,63342.0,6916.0,70258.0
30/03/2021,Punjab,690010.0,102319.0,792329.0
30/03/2021,Rajasthan,4887410.0,694762.0,5582172.0
30/03/2021,Sikkim,60964.0,12322.0,73286.0
30/03/2021,Tamil Nadu,2684001.0,268310.0,2952311.0
30/03/2021,Telangana,1034705.0,227420.0,1262125.0
30/03/2021,Tripura,610584.0,76640.0,687224.0
30/03/2021,Uttar Pradesh,4417459.0,910960.0,5328419.0
30/03/2021,Uttarakhand,563392.0,119615.0,683007.0
30/03/2021,West Bengal,4437985.0,653118.0,5091103.0
30/03/2021,Miscellaneous,1469950.0,615462.0,2085412.0
30/03/2021,Total,53989035.0,9065318.0,63054353.0
31/03/2021,Andaman and Nicobar Islands,16480.0,5608.0,22088.0
31/03/2021,Andhra Pradesh,2211816.0,393353.0,2605169.0
31/03/2021,Arunachal Pradesh,65951.0,19938.0,85889.0
31/03/2021,Assam,908707.0,140267.0,1048974.0
31/03/2021,Bihar,2398125.0,436013.0,2834138.0
31/03/2021,Chandigarh,66030.0,11551.0,77581.0
31/03/2021,Chhattisgarh,1624926.0,317179.0,1942105.0
31/03/2021,Dadra and Nagar Haveli and Daman and Diu,23619.0,4447.0,28066.0
31/03/2021,Delhi,1014199.0,251453.0,1265652.0
31/03/2021,Goa,97320.0,18430.0,115750.0
31/03/2021,Gujarat,5024412.0,675762.0,5700174.0
31/03/2021,Haryana,1437776.0,153823.0,1591599.0
31/03/2021,Himachal Pradesh,439777.0,92276.0,532053.0
31/03/2021,Jammu and Kashmir,656985.0,146839.0,803824.0
31/03/2021,Jharkhand,1369270.0,227163.0,1596433.0
31/03/2021,Karnataka,3374768.0,436239.0,3811007.0
31/03/2021,Kerala,3015107.0,386811.0,3401918.0
31/03/2021,Ladakh,39516.0,6494.0,46010.0
31/03/2021,Lakshadweep,4829.0,2130.0,6959.0
31/03/2021,Madhya Pradesh,2855859.0,500807.0,3356666.0
31/03/2021,Maharashtra,5454614.0,754723.0,6209337.0
31/03/2021,Manipur,86331.0,34507.0,120838.0
31/03/2021,Meghalaya,71605.0,29871.0,101476.0
31/03/2021,Mizoram,52859.0,13807.0,66666.0
31/03/2021,Nagaland,63473.0,23774.0,87247.0
31/03/2021,Odisha,1999347.0,411674.0,2411021.0
31/03/2021,Puducherry,67035.0,7130.0,74165.0
31/03/2021,Punjab,736424.0,106024.0,842448.0
31/03/2021,Rajasthan,4999156.0,722156.0,5721312.0
31/03/2021,Sikkim,61362.0,12379.0,73741.0
31/03/2021,Tamil Nadu,2757835.0,273796.0,3031631.0
31/03/2021,Telangana,1066073.0,229741.0,1295814.0
31/03/2021,Tripura,620166.0,77180.0,697346.0
31/03/2021,Uttar Pradesh,4483979.0,914705.0,5398684.0
31/03/2021,Uttarakhand,577234.0,121665.0,698899.0
31/03/2021,West Bengal,4561135.0,669031.0,5230166.0
31/03/2021,Miscellaneous,1479101.0,705949.0,2185050.0
31/03/2021,Total,55783201.0,9334695.0,65117896.0
01/04/2021,Andaman and Nicobar Islands,17208.0,5666.0,22874.0
